epoch,accuracy,loss,val_accuracy,val_loss
0,0.8956585,0.38825228735804557,0.876434326171875,0.21141208708286285
1,0.871537,0.28105841148644684,0.8876953125,0.1930990219116211
0,0.9016918,0.20886188857257365,0.876361072063446,0.14021086692810059
1,0.8746513,0.22903573531657456,0.9105941653251648,0.1328544020652771
0,0.9117306,0.18690168149769307,0.9068450927734375,0.10316932201385498
1,0.9021801,0.2033671172335744,0.9128357172012329,0.1282043308019638
0,0.92493474,0.17038087286055087,0.91864013671875,0.09393534809350967
1,0.9017452,0.22653767075389625,0.8877166509628296,0.20947642624378204
0,0.929747,0.16403906550258399,0.9228378534317017,0.08855904638767242
1,0.9203064,0.18290553092956544,0.9162826538085938,0.09237615764141083
0,0.93078536,0.16159732863307,0.9209747314453125,0.08839106559753418
1,0.9177567,0.1845402019098401,0.9120635986328125,0.10370568931102753
0,0.9349785,0.15447172056883574,0.9292404055595398,0.08092275261878967
1,0.92195016,0.18108553849160672,0.9187911748886108,0.09444808959960938
0,0.93691444,0.1528068844228983,0.930450439453125,0.0850832387804985
1,0.9209587,0.18263291642069818,0.9122787714004517,0.10768912732601166
0,0.94232404,0.14464264661073684,0.9388152956962585,0.07479196786880493
1,0.9189285,0.18386419415473937,0.9260116815567017,0.12416404485702515
